ID,ExpertLevel,Complexity,30sTnterval,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
042,1,1,170,170.37,PB,4B,1,0.31039999999998713,53.75294430182113,,
042,1,1,170,170.841,4B,5A,1,0.07349999999999568,7.9933369835639105,,
042,1,1,170,170.9474,5A,4B,1,0.4000000000000057,18.48108688377234,,
042,1,1,170,172.8123,4B,1A,1,0.5335000000000036,6.642814544204015,,
042,1,1,170,176.1448,1A,PB,1,0.39910000000000423,45.620692228919495,,
042,1,1,170,177.514,PB,4B,1,0.2639999999999816,53.63370976007451,,
042,1,1,170,177.8519,4B,2A,1,0.02580000000000382,0.756012437072453,,
042,1,1,170,178.2105,2A,2B,1,0.066599999999994,0.49979538814488933,,
042,1,1,170,178.6436,2B,5A,1,0.033299999999997,1.1545694716153925,,
042,1,1,170,178.7106,5A,9A,1,0.066599999999994,4.336675900482426,,
042,1,1,170,178.9104,9A,3A,1,0.06629999999998404,1.4946619570284905,,
042,1,1,170,179.143,3A,6A,1,0.033999999999991815,0.1734999842518128,,
042,1,1,170,179.4434,6A,9B,1,0.03280000000000882,1.2126548699172863,,
042,1,1,170,179.7427,9B,5B,1,0.1671999999999798,11.753108973188745,,
042,1,1,170,180.0096,5B,5A,1,0.06860000000000355,3.5536204939523586,,
042,1,1,170,180.1102,5A,7A,1,0.26609999999999445,11.731203153219521,,
042,1,1,170,180.4764,7A,4B,1,0.03309999999999036,0.9305334697851961,,
042,1,1,170,180.8092,4B,1B,1,0.09999999999999432,3.1537965253444966,,
042,1,1,170,181.0769,1B,1A,1,0.198599999999999,4.65001100531078,,
042,1,1,170,181.5419,1A,PB,1,0.1886000000000081,22.426121503306078,,
042,1,1,170,183.8886,PB,4A,1,0.2189999999999941,43.28900983528293,,
042,1,1,170,184.222,4A,2B,1,0.19819999999998572,11.222551442085148,,
042,1,1,170,184.52,2B,5A,1,0.033299999999997,0.017542331817285373,,
042,1,1,170,184.6874,5A,8A,1,0.09899999999998954,1.7907242069252618,,
042,1,1,170,184.9534,8A,5B,1,0.09970000000001278,1.4542737124264349,,
042,1,1,170,185.4532,5B,9A,1,0.13329999999999131,3.761351133943757,,
042,1,1,170,186.3868,9A,8A,1,0.09919999999999618,6.798967370271953,,
042,1,1,170,186.6193,8A,7A,1,0.133199999999988,12.735134821269462,,
042,1,1,170,186.9863,7A,4A,1,0.09940000000000282,1.321709714555709,,
042,1,1,170,187.552,4A,PB,1,0.5764000000000067,52.47579284344304,,
042,1,1,170,190.4843,PB,1A,1,0.2032000000000096,25.164871629231868,,
042,1,1,170,190.7731,1A,1B,1,0.1103999999999985,16.567649378799636,,
042,1,1,170,190.9068,1B,7A,1,0.5979000000000099,10.937498402082078,,
042,1,1,170,191.7383,7A,4B,1,0.4328999999999894,5.995300600327333,,
042,1,1,170,192.3385,4B,8A,1,0.13239999999998986,8.047429026797854,,
042,1,1,170,192.5282,8A,5B,1,0.06810000000001537,3.7814870571883006,,
042,1,1,170,192.6933,5B,8A,1,0.03370000000001028,1.328526076411979,,
042,1,1,170,192.893,8A,5B,1,0.03360000000000696,0.46480090670582364,,
042,1,1,170,193.8264,5B,5A,1,0.066599999999994,2.509115585319396,,
042,1,1,170,194.2592,5A,5B,1,0.19990000000001373,5.723217858448816,,
042,1,1,170,194.5258,5B,5A,1,0.033299999999997,0.14953318092133117,,
042,1,1,170,194.7259,5A,5B,1,0.29939999999999145,0.20514649411448005,,
042,1,1,170,197.0578,5B,5A,1,0.06670000000002574,0.9044111357325022,,
042,1,1,170,197.2914,5A,5B,1,0.03319999999999368,0.3582172239886461,,
042,1,1,170,198.3574,5B,5A,1,0.033599999999978536,0.8223125934952229,,
042,1,1,170,199.1233,5A,2B,1,0.03370000000001028,0.7040149901512649,,
042,1,1,170,199.6234,2B,2A,1,0.06649999999999068,2.29086850498841,,
